City,January,February,March,April,May,June,July,August,September,October,November,December
Amsterdam,69,57,58,57,68,73,88,86,76,70,68,74
Auckland,76,73,77,83,101,106,121,112,100,85,81,99
Austin,64,67,78,88,123,81,48,61,75,89,78,72
Barcelona,39,39,43,54,48,37,27,43,82,94,64,44
Boston,99,87,117,103,88,90,76,90,90,110,95,117
Brisbane,127,126,101,55,68,56,30,37,38,72,89,110
Buenos Aires,89,110,101,106,77,75,76,75,82,125,102,94
Cali,307,278,308,320,221,130,120,145,221,390,479,379
Chicago,79,67,76,112,106,95,86,101,81,99,92,81
Dallas,74,78,101,114,134,87,44,54,65,100,92,91
Fortaleza,102,143,202,250,138,80,45,13,8,10,14,37
Guatemala City,5,4,9,27,74,134,68,75,129,101,27,9
Guayaquil,253,390,395,323,239,155,124,89,101,73,57,122
Hannover,67,51,60,56,65,71,82,78,66,65,61,68
Helsinki,58,48,41,40,47,74,81,82,64,65,66,64
Kansas City,39,53,84,127,145,134,95,96,94,87,65,50
Lima,27,40,34,12,9,12,14,12,11,10,9,13
Ljubljana,66,79,81,98,106,110,100,114,128,122,130,90
London,59,50,47,54,57,60,59,65,51,60,67,61
Los Angeles,84,89,54,19,11,3,2,0,4,17,21,53
Louisville,94,89,113,128,132,107,106,71,80,85,91,113
Malmo,55,44,45,40,44,63,62,71,58,59,54,57
Memphis,100,109,129,125,123,89,95,72,77,104,103,132
Mendoza,53,52,63,44,33,23,21,27,30,48,48,50
Mexico City,26,23,32,53,83,159,171,166,183,108,37,17
Montevideo,70,99,103,111,93,91,98,100,96,117,107,78
Muzaffarpur,16,16,14,17,55,191,365,295,232,59,4,7
Nashville,103,119,127,129,128,103,108,83,85,91,102,134
New York City,86,78,106,92,92,103,105,106,95,97,76,103
Oakland,97,102,74,37,20,4,0,1,1,22,47,90
Rio de Janeiro,172,117,153,99,81,52,55,45,81,98,143,156
Sacramento,122,115,92,44,27,5,0,1,2,31,59,115
San Francisco,113,118,83,40,21,6,2,2,3,25,57,111
San Salvador,3,4,13,56,221,254,191,234,311,236,47,9
Santiago,3,5,9,29,65,105,87,84,62,44,17,7
Sao Paulo,228,167,150,69,64,46,56,40,92,117,152,175
Seattle,181,127,145,122,81,66,29,37,67,143,206,182
Seoul,21,28,41,73,99,144,319,249,131,55,48,25
Saint Louis,70,67,95,118,134,111,87,74,88,88,94,71
Stockholm,44,37,34,36,45,67,72,73,56,52,53,50
Tallinn,53,42,38,40,44,71,72,84,68,73,60,57
Tel Aviv,99,76,43,20,7,3,3,2,4,20,47,89
Toronto,64,54,59,80,76,81,74,69,73,78,69,68
Vancouver,312,200,257,181,120,103,56,75,123,253,362,309
Zurich,97,90,104,112,150,149,152,149,128,106,115,111
